PL,,Mean:,-0.114,,,
-2.22166,,STDEV:,4.66,,,
-2.098395,,,,,,
-1.000042,,Lower:,-40,,,
-0.585288,,Upper:,40,,,
-4.531257,,Num,40,,,
1.779915,,,,,,
0.630498,,-40,,Bin,Frequency,
2.651391,,-38,,-40,0,0
6.377264,,-36,,-38,0,0
1.45217,,-34,,-36,0,0
1.202622,,-32,,-34,0,0
5.755216,,-30,,-32,0,0
10.543808,,-28,,-30,0,0
5.653016,,-26,,-28,0,0
4.500945,,-24,,-26,0,0
-3.183432,,-22,,-24,0,0
0.845127,,-20,,-22,0,0
0.699617,,-18,,-20,0,0
4.785648,,-16,,-18,0,0
0.178256,,-14,,-16,1,0.005
1.885955,,-12,,-14,0,0
-1.490452,,-10,,-12,0,0
3.870416,,-8,,-10,4,0.02
2.283567,,-6,,-8,9,0.045
-1.858069,,-4,,-6,7,0.035
3.763287,,-2,,-4,15,0.075
3.104806,,0,,-2,28,0.14
-0.285548,,2,,0,35,0.175
-9.644819,,4,,2,35,0.175
0.059032,,6,,4,28,0.14
1.191649,,8,,6,18,0.09
1.820158,,10,,8,16,0.08
-2.57871,,12,,10,2,0.01
-0.915133,,14,,12,2,0.01
-2.107398,,16,,14,0,0
-0.100023,,18,,16,0,0
10.727683,,20,,18,0,0
0.074768,,22,,20,0,0
-2.35151,,24,,22,0,0
3.767349,,26,,24,0,0
-6.880645,,28,,26,0,0
3.466979,,30,,28,0,0
9.163498,,32,,30,0,0
-0.665748,,34,,32,0,0
-1.236443,,36,,34,0,0
-6.465087,,38,,36,0,0
1.625436,,40,,38,0,0
-1.979899,,,,40,0,0
3.828368,,,,More,0,200
-10.408385,,,,,,
1.504761,,,,,,
-2.54504,,,,,,
-4.526353,,,,,,
-2.098726,,,,,,
-1.066142,,,,,,
-0.087933,,,,,,
-4.491407,,,,,,
-2.231046,,,,,,
-3.996109,,,,,,
-5.543588,,,,,,
-0.604388,,,,,,
3.467017,,,,,,
-5.292531,,,,,,
6.185706,,,,,,
0.354506,,,,,,
-1.203729,,,,,,
-6.092001,,,,,,
-3.377032,,,,,,
3.729584,,,,,,
-2.243714,,,,,,
1.660837,,,,,,
0.496179,,,,,,
0.396029,,,,,,
-16.532847,,,,,,
3.924331,,,,,,
6.87171,,,,,,
2.004591,,,,,,
1.140462,,,,,,
0.078114,,,,,,
-0.392912,,,,,,
-9.853364,,,,,,
-3.96882,,,,,,
1.257308,,,,,,
-5.780275,,,,,,
0.388391,,,,,,
1.146,,,,,,
2.483681,,,,,,
-3.063684,,,,,,
-1.050365,,,,,,
-6.098376,,,,,,
-0.45466,,,,,,
-8.61724,,,,,,
5.733882,,,,,,
0.34585,,,,,,
-1.131694,,,,,,
-0.845433,,,,,,
-1.487517,,,,,,
-11.208186,,,,,,
-3.615577,,,,,,
-2.289087,,,,,,
-0.98043,,,,,,
4.2382,,,,,,
-1.245364,,,,,,
2.603098,,,,,,
-8.35465,,,,,,
5.11612,,,,,,
-6.453382,,,,,,
-9.059644,,,,,,
7.966034,,,,,,
-3.191999,,,,,,
2.616285,,,,,,
-1.754952,,,,,,
6.409078,,,,,,
4.342289,,,,,,
5.186927,,,,,,
3.405594,,,,,,
-8.942719,,,,,,
-2.220311,,,,,,
0.597347,,,,,,
4.729107,,,,,,
1.551915,,,,,,
-3.171733,,,,,,
6.474376,,,,,,
7.827527,,,,,,
-3.266075,,,,,,
4.509266,,,,,,
-6.1135,,,,,,
-5.253795,,,,,,
2.336341,,,,,,
-8.186601,,,,,,
2.312829,,,,,,
-10.769452,,,,,,
-2.891425,,,,,,
7.011994,,,,,,
-3.132354,,,,,,
-9.772837,,,,,,
1.435976,,,,,,
3.331569,,,,,,
-4.983947,,,,,,
6.879048,,,,,,
9.746123,,,,,,
-5.677211,,,,,,
6.345443,,,,,,
0.621721,,,,,,
-2.457864,,,,,,
1.354158,,,,,,
5.404683,,,,,,
1.963374,,,,,,
-4.066491,,,,,,
2.567954,,,,,,
-3.396228,,,,,,
2.424279,,,,,,
-0.941658,,,,,,
-4.848525,,,,,,
-1.061315,,,,,,
2.123138,,,,,,
-0.649555,,,,,,
6.386399,,,,,,
-11.459174,,,,,,
-5.645754,,,,,,
1.026237,,,,,,
4.972107,,,,,,
4.524495,,,,,,
0.374957,,,,,,
-4.345633,,,,,,
6.453714,,,,,,
2.166669,,,,,,
6.65878,,,,,,
2.410749,,,,,,
4.960842,,,,,,
2.735293,,,,,,
1.804071,,,,,,
-2.611886,,,,,,
-4.294901,,,,,,
-7.714915,,,,,,
-8.934407,,,,,,
0.141959,,,,,,
-2.345251,,,,,,
6.115418,,,,,,
2.070046,,,,,,
-2.445985,,,,,,
0.147551,,,,,,
-0.460544,,,,,,
5.346907,,,,,,
2.020445,,,,,,
-1.91536,,,,,,
7.508017,,,,,,
-1.120435,,,,,,
-0.66324,,,,,,
5.758015,,,,,,
7.355449,,,,,,
2.617615,,,,,,
4.152904,,,,,,
-1.133983,,,,,,
-5.178447,,,,,,
-1.116465,,,,,,
-1.350654,,,,,,
-2.399777,,,,,,
-1.362936,,,,,,
-1.066717,,,,,,
80,,,,,,
